case_id,dealer_id,asset_id,opened_date,symptom_text,region,severity
C000001,D005,A00152,2024-10-17,rim impact damage after rough terrain operation,west,2
C000002,D019,A00159,2024-04-20,uneven wheel wear with repeated air loss,north,2
C000003,D003,A00207,2025-02-10,rim impact damage after rough terrain operation,south,2
C000004,D010,A00099,2024-04-21,spider crack pattern after debris strike; intermittent warning lamp observed during startup,north,2
C000005,D027,A00059,2025-06-17,body support fatigue and visible structural bend,south,3
C000006,D039,A00002,2024-07-13,spider crack pattern after debris strike,east,4
C000007,D037,A00139,2024-03-27,smoke from engine bay and reduced acceleration,north,2
C000008,D035,A00106,2025-05-09,spider crack pattern after debris strike,north,1
C000009,D012,A00097,2025-08-29,tire puncture and low pressure warning; also noted: smoke from engine bay and reduced acceleration,south,3
C000010,D036,A00155,2025-01-06,hard starting with rough idle and vibration,south,5
C000011,D037,A00100,2025-10-26,cracked glass spreading across windshield,south,3
C000012,D019,A00172,2024-12-17,tire puncture and low pressure warning; operator reported unusual noise after long shift,west,2
C000013,D035,A00134,2025-08-18,uneven wheel wear with repeated air loss,north,2
C000014,D032,A00018,2025-01-24,body panel deformation with alignment drift; operator reported unusual noise after long shift,north,1
C000015,D023,A00165,2025-12-07,engine knocking and power loss under heavy load,east,3
C000016,D036,A00164,2024-04-06,wheel wobble and traction reduction on turns; general handling issue noticed on uneven ground,west,2
C000017,D018,A00111,2025-04-29,rim impact damage after rough terrain operation,south,4
C000018,D012,A00200,2025-11-20,"tire puncture and low pressure warning; minor electrical warning, likely unrelated to primary failure",south,1
C000019,D033,A00085,2025-10-13,intermittent stalling with low torque output; general handling issue noticed on uneven ground,south,2
C000020,D026,A00046,2024-05-24,intermittent stalling with low torque output,south,2
C000021,D027,A00025,2024-03-20,windshield vibration noise and seal gap; also noted: intermittent stalling with low torque output,west,4
C000022,D025,A00200,2025-05-29,spider crack pattern after debris strike,west,2
C000023,D038,A00015,2024-08-02,rim impact damage after rough terrain operation; general handling issue noticed on uneven ground,north,1
C000024,D005,A00219,2024-12-21,body panel deformation with alignment drift; also noted: uneven wheel wear with repeated air loss,north,2
C000025,D021,A00248,2025-04-08,front glass chips with limited driver visibility; general handling issue noticed on uneven ground,north,2
C000026,D005,A00078,2025-11-11,hard starting with rough idle and vibration,east,1
C000027,D026,A00154,2024-07-02,rim impact damage after rough terrain operation,north,3
C000028,D037,A00157,2025-12-07,uneven wheel wear with repeated air loss,east,3
C000029,D003,A00235,2025-02-26,engine knocking and power loss under heavy load; also noted: wheel wobble and traction reduction on turns,west,1
C000030,D020,A00195,2025-05-20,intermittent stalling with low torque output,south,1
C000031,D019,A00063,2025-01-11,wheel wobble and traction reduction on turns,south,3
C000032,D008,A00124,2024-03-01,spider crack pattern after debris strike,north,2
C000033,D039,A00171,2024-08-06,hard starting with rough idle and vibration,north,2
C000034,D004,A00091,2025-09-14,uneven wheel wear with repeated air loss,west,3
C000035,D010,A00187,2025-10-09,uneven wheel wear with repeated air loss,north,4
C000036,D014,A00131,2025-10-21,smoke from engine bay and reduced acceleration,west,2
C000037,D030,A00199,2024-03-23,tire puncture and low pressure warning,south,3
C000038,D028,A00022,2024-05-17,windshield vibration noise and seal gap,west,2
C000039,D006,A00063,2024-11-20,windshield vibration noise and seal gap; also noted: body support fatigue and visible structural bend,west,2
C000040,D016,A00112,2024-02-23,chassis flex and mounting crack near rear section,east,4
C000041,D027,A00200,2024-12-24,windshield vibration noise and seal gap,east,2
C000042,D007,A00172,2024-12-19,tire puncture and low pressure warning; also noted: front glass chips with limited driver visibility,north,1
C000043,D008,A00051,2024-05-24,hard starting with rough idle and vibration,west,2
C000044,D024,A00079,2025-05-15,spider crack pattern after debris strike,north,2
C000045,D020,A00026,2024-05-02,wheel wobble and traction reduction on turns,south,3
C000046,D023,A00101,2025-03-12,cracked glass spreading across windshield; also noted: chassis flex and mounting crack near rear section,north,3
C000047,D024,A00095,2025-09-01,rim impact damage after rough terrain operation,north,3
C000048,D034,A00009,2024-08-19,cracked glass spreading across windshield,south,3
C000049,D023,A00095,2024-05-08,intermittent stalling with low torque output; operator reported unusual noise after long shift,north,3
C000050,D023,A00225,2025-11-19,windshield vibration noise and seal gap; general handling issue noticed on uneven ground,east,5
C000051,D038,A00062,2024-08-05,frame/body damage after impact event; also noted: windshield vibration noise and seal gap,south,2
C000052,D014,A00159,2025-12-16,intermittent stalling with low torque output,west,3
C000053,D035,A00182,2025-12-18,tire puncture and low pressure warning,north,2
C000054,D014,A00212,2025-10-06,wheel wobble and traction reduction on turns; general handling issue noticed on uneven ground,west,4
C000055,D008,A00139,2024-04-28,wheel wobble and traction reduction on turns,west,2
C000056,D019,A00168,2025-10-18,engine knocking and power loss under heavy load,south,2
C000057,D033,A00094,2026-01-15,rim impact damage after rough terrain operation,west,3
C000058,D015,A00006,2025-09-09,front glass chips with limited driver visibility; general handling issue noticed on uneven ground,west,3
C000059,D024,A00238,2024-05-24,wheel wobble and traction reduction on turns,north,4
C000060,D016,A00196,2025-07-13,wheel wobble and traction reduction on turns,south,3
C000061,D012,A00123,2025-07-09,uneven wheel wear with repeated air loss,east,2
C000062,D039,A00076,2024-06-02,uneven wheel wear with repeated air loss,east,3
C000063,D023,A00139,2025-10-03,body panel deformation with alignment drift; general handling issue noticed on uneven ground,north,1
C000064,D027,A00119,2024-11-09,wheel wobble and traction reduction on turns,west,2
C000065,D008,A00113,2025-08-19,tire puncture and low pressure warning,west,2
C000066,D026,A00033,2025-03-15,body panel deformation with alignment drift; also noted: engine knocking and power loss under heavy load,south,3
C000067,D035,A00140,2025-04-05,cracked glass spreading across windshield,north,2
C000068,D034,A00037,2025-05-05,windshield vibration noise and seal gap,west,4
C000069,D037,A00204,2026-01-26,frame/body damage after impact event,west,3
C000070,D008,A00046,2024-04-09,windshield vibration noise and seal gap,east,2
C000071,D016,A00053,2025-07-24,hard starting with rough idle and vibration,east,4
C000072,D031,A00104,2024-06-02,uneven wheel wear with repeated air loss,south,2
C000073,D004,A00103,2025-12-23,body support fatigue and visible structural bend,west,5
C000074,D029,A00084,2025-08-13,rim impact damage after rough terrain operation,north,2
C000075,D006,A00214,2025-07-01,engine knocking and power loss under heavy load,west,4
C000076,D002,A00235,2025-10-30,intermittent stalling with low torque output,east,2
C000077,D024,A00053,2025-06-03,rim impact damage after rough terrain operation; also noted: body support fatigue and visible structural bend,west,3
C000078,D004,A00220,2024-10-13,cracked glass spreading across windshield,north,2
C000079,D019,A00079,2024-09-18,cracked glass spreading across windshield; operator reported unusual noise after long shift,north,2
C000080,D012,A00081,2024-04-08,engine knocking and power loss under heavy load; intermittent warning lamp observed during startup,south,4
C000081,D035,A00086,2024-06-25,rim impact damage after rough terrain operation; also noted: cracked glass spreading across windshield,west,4
C000082,D018,A00032,2024-09-29,wheel wobble and traction reduction on turns,south,3
C000083,D015,A00162,2024-07-04,body panel deformation with alignment drift,west,2
C000084,D030,A00020,2024-07-23,frame/body damage after impact event,east,2
C000085,D028,A00249,2024-11-29,intermittent stalling with low torque output,north,3
C000086,D019,A00200,2025-11-24,body support fatigue and visible structural bend,west,2
C000087,D030,A00223,2025-05-08,tire puncture and low pressure warning,east,4
C000088,D010,A00223,2025-07-21,uneven wheel wear with repeated air loss,west,4
